id	nm	lat	lon	countryCode
1850692	Nishi-Tokyo-shi	35.72526	139.5383	JP
1850707	Tanabe	34.81667	135.7667	JP
1850742	Tamano	34.48333	133.95	JP
1850834	Takeo	33.2	130.0167	JP
1850872	Takefu	35.90393	136.1669	JP
1851012	Takarazuka	34.79936	135.357	JP
1851170	Bungo-Takada-shi	33.5567	131.4451	JP
1851357	Suzaka	36.65	138.3167	JP
1851390	Susaki	33.36667	133.2833	JP
1851494	Suibara	37.83333	139.2333	JP
1851542	Sueyoshi	31.65	131.0167	JP
1851622	Sobue	35.25	136.7167	JP
1851711	Shobu	36.06667	139.6	JP
1851813	Shirone	37.76667	139.0167	JP
1851935	Shirahama	34.78333	134.7167	JP
1851952	Shiozawa	37.03333	138.85	JP
1852102	Shinichi	34.55	133.2667	JP
1852109	Shingu	33.71667	130.4333	JP
1852140	Shinagawa-ku	35.60902	139.7302	JP
1852225	Shimonoseki	33.95	130.95	JP
1852383	Shimminatocho	34.18333	135.2	JP
1852385	Shimminato	36.78333	137.0667	JP
1852561	Shido	34.32333	134.1733	JP
1852673	Setaka	33.15	130.4667	JP
1852736	Sendai	31.81667	130.3	JP
1853193	Sakai	36.1	139.8	JP
1853280	Sagara	34.68333	138.2	JP
1853303	Saga-shi	33.24932	130.2988	JP
1853354	Ryuo	35.65	138.5	JP
1853371	Ryotsu	38.08333	138.4333	JP
1853486	Oyama	34.6	138.2167	JP
1853514	Owase	34.06667	136.2	JP
1854028	Ono	34.28333	132.2667	JP
1854177	Omama	36.43333	139.2833	JP
1854246	Okuchi	32.06667	130.6167	JP
1854376	Okazaki	34.95	137.1667	JP
1855066	Nogata	33.73333	130.7333	JP
1855207	Nishinomiya	34.71667	135.3333	JP
1855410	Niitsu	37.8	139.1167	JP
1855425	Niihama	33.95933	133.3167	JP
1855476	Nichinan	31.6	131.3667	JP
1855540	Naze	28.36667	129.4833	JP
1855612	Nara-shi	34.68505	135.8049	JP
1855694	Namerikawa	36.76667	137.3333	JP
1855757	Nakatsu	33.59811	131.1883	JP
1855907	Nakama	33.81667	130.7	JP
1856035	Naha-shi	26.2125	127.6811	JP
1856392	Muroto	33.28333	134.15	JP
1856426	Muramatsu	37.68333	139.1833	JP
1856456	Muko	34.96545	135.7041	JP
1856476	Muikamachi	37.06667	138.8833	JP
1856698	Miyoshi	34.8	132.85	JP
1856828	Miyada	33.71667	130.6667	JP
1856942	Mitaka-shi	35.68351	139.5596	JP
1857144	Minami-rinkan	35.48333	139.45	JP
1857209	Minakuchi	34.96667	136.1667	JP
1857260	Mikuni	36.21706	136.1519	JP
1857403	Menuma	36.21667	139.3833	JP
1857470	Matsuto	36.51667	136.5667	JP
1857560	Matsubase	32.65	130.6667	JP
1857651	Maruoka	36.1534	136.2703	JP
1857659	Maruko	36.31667	138.2667	JP
1857751	Maki	37.75	138.8833	JP
1857766	Maizuru	35.45	135.3333	JP
1857844	Maebaru	33.55	130.2	JP
1858249	Kuroda	35.35	136.7833	JP
1858283	Kurihashi	36.13333	139.7	JP
1858591	Kozakai-cho	34.8	137.3589	JP
1858695	Kosugi	36.71667	137.1	JP
1858836	Konan	35.33165	136.8704	JP
1858858	Komoro	36.31667	138.4333	JP
1859113	Kodama	36.18333	139.1333	JP
1859335	Kitahama	35.16667	135.9167	JP
1859383	Kishiwada	34.46667	135.3667	JP
1859400	Kisai	36.1	139.5833	JP
1859586	Kazo	36.11667	139.6	JP
